PR,URL,Title,Content type,Is rendered page,HTTP status code,Size (bytes),Loading time (ms),No. of IMG inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
0,https://aviva.com.br/assets/1898cbbb-9011-4f34-b672-9ee8bbd137f0,,image/jpeg,false,200,6576825,10,5,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/1898cbbb-9011-4f34-b672-9ee8bbd137f0,,image/jpeg,false,200,6576825,13,5,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/a9acfe3a-9757-418a-8bf8-b24a5ff90621,,image/jpeg,false,200,6018024,10,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/a9acfe3a-9757-418a-8bf8-b24a5ff90621,,image/jpeg,false,200,6018024,11,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/a046a929-384e-4c11-a4e0-4998faf15faa,,image/jpeg,false,200,4278881,9,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/a046a929-384e-4c11-a4e0-4998faf15faa,,image/jpeg,false,200,4278881,10,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
10,https://www.aviva.com.br/assets/cfe88483-a7ba-406f-980f-61befa24fa53,,image/png,false,200,3968745,13,491,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
2,https://www.aviva.com.br/assets/b16e91e6-001b-444b-924e-f2a6dcf274d6,,image/jpeg,false,200,2881832,13,78,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/b16e91e6-001b-444b-924e-f2a6dcf274d6,,image/jpeg,false,200,2881832,10,17,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/d13853f9-f9d9-4c31-90ec-38c7d11b59c4,,image/jpeg,false,200,2654650,14,6,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/da7028f4-2998-4d0e-a374-7afb18dd1963.jpg?width=3505&height=2480,,image/jpeg,false,200,1879263,13,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/01e376dc-5979-43e5-bb1a-df58261f35b5.jpg?width=3508&height=2481,,image/jpeg,false,200,1858580,16,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/420647c7-6574-48cc-804f-427d29bbb2c0.jpg?width=3508&height=2481,,image/jpeg,false,200,1816700,13,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/dcbbc17d-8f13-4b07-b35a-afff6e421fcf,,image/png,false,200,1089705,15,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/fd8d949d-f8d5-4230-9717-de328a3131e7,,image/png,false,200,1004203,13,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media

Total: 44 URLs | Issue: Image file size too large | Fonte: /ahrefs-reports/aviva_all-issues/Error-Image_file_size_too_large.csv | Filtro aplicado: aviva.com.br | Gerado: 2026-04-28
