URL,LCP (s),CLS,INP (ms),Falhas,Oportunidade PSI,Acao recomendada
https://services.aviva.com.br/,0.77,21,42,CLS 21.000 (meta <0.1),Avoid multiple page redirects,Reservar espaco visual para imagens/embeds
https://www.aviva.com.br/blog/tudo-o-que-voce-precisa-saber-sobre-como-fazer-check-in,2.15,10,428,CLS 10.000 (meta <0.1) | INP 428ms (meta <200),Reduce initial server response time,Reservar espaco visual para imagens/embeds
https://www.aviva.com.br/blog/web-check-in-praticidade-e-comodidade-no-rio-quente,2.15,10,428,CLS 10.000 (meta <0.1) | INP 428ms (meta <200),Reduce unused JavaScript,Reservar espaco visual para imagens/embeds

Total: 3 URLs com CWV em FAIL | Fonte: PageSpeed Insights API | Gerado: 2026-04-28T14:19:00
