PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
22,https://www.aviva.com.br/blog/praia-ou-piscina-vantagens-e-como-aproveitar-o-passeio,Praia ou piscina: vantagens e como aproveitar o passeio,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/praia-ou-piscina-vantagens-e-como-aproveitar-o-passeio,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/de-goiania-a-rio-quente-conheca-a-cidade-das-aguas-termais,De Goiânia a Rio Quente: conheça a cidade das águas termais,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/de-goiania-a-rio-quente-conheca-a-cidade-das-aguas-termais,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/voce-conhece-o-turismo-ecologico-entenda-o-conceito-e-veja-destinos-no-brasil,Você conhece o turismo ecológico? Entenda o conceito e veja destinos no Brasil,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/voce-conhece-o-turismo-ecologico-entenda-o-conceito-e-veja-destinos-no-brasil,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/pascoa-em-goias,Páscoa em Goiás: destinos inesquecíveis para aproveitar o feriado,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/pascoa-em-goias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/costa-do-sauipe-verao-ano-todo,O Verão Acabou? Aqui Não! Descubra por que na Costa do Sauípe o Sol é Morador Fixo,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/costa-do-sauipe-verao-ano-todo,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/ipameri-conheca-atracoes-e-saiba-como-chegar-na-cidade-goiana,Ipameri: conheça atrações e saiba como chegar na cidade goiana,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/ipameri-conheca-atracoes-e-saiba-como-chegar-na-cidade-goiana,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/tour-virtual-costa-do-sauipe,O Novo Tour Virtual da Costa do Sauípe,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/tour-virtual-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/culinaria-brasileira-quais-sao-os-pratos-mais-famosos-do-pais,Culinária brasileira: quais são os pratos mais famosos do país?,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/culinaria-brasileira-quais-sao-os-pratos-mais-famosos-do-pais,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
22,https://www.aviva.com.br/blog/aplicativo-de-viagem-saiba-como-apps-podem-ajudar-nos-passeios,Aplicativo de viagem: saiba como apps podem ajudar nos passeios,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/aplicativo-de-viagem-saiba-como-apps-podem-ajudar-nos-passeios,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/blog,Blog | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
