PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks,Internal outlinks codes,No. of internal outlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/qual-a-localizacao-do-terra-resort,Qual a localização do Terra Resort?,text/html;charset=utf-8,true,200,0,3,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/qual-o-tipo-de-pensao-do-hotel-brisa-grand-premium,Qual o tipo de pensão do Hotel Brisa Grand Premium?,text/html;charset=utf-8,true,200,0,2,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/o-que-e-o-sistema-de-bianualidade,O que é o sistema de Bianualidade do Clube de Férias?,text/html;charset=utf-8,true,200,0,3,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/qual-o-tipo-de-pensao-do-sol-grand-premium,Qual o tipo de pensão do Sol Grand Premium?,text/html;charset=utf-8,true,200,0,3,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/cartao-vale-toalhas-costa-do-sauipe,Cartão vale-toalhas Costa do Sauípe,text/html;charset=utf-8,true,200,0,4,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/piscinas-do-hotel-sol-grand-premium,Piscinas do Hotel Sol Grand Premium,text/html;charset=utf-8,true,200,0,3,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/ha-lavanderia-e-passadoria-no-terra-resort,Há Lavanderia e Passadoria no Terra Resort?,text/html;charset=utf-8,true,200,0,4,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/o-que-acontece-se-eu-nao-utilizar-meus-pontos-este-ano,O que acontece se eu não utilizar meus pontos do Clube de Férias?,text/html;charset=utf-8,true,200,0,3,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/o-mar-premium-e-all-inclusive,O Mar Premium é All Inclusive?,text/html;charset=utf-8,true,200,0,4,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
21,https://ajuda.aviva.com.br/portal/pt-br/kb/articles/acesso-a-internet-no-terra-resort,Acesso a Internet no Terra Resort,text/html;charset=utf-8,true,200,0,3,http://aviva.com.br/,,,1) Buscar em todo o HTML/templates por 'http://www.,Seguranca,Alta
