URL,LCP (s),CLS,INP (ms),Falhas,Oportunidade PSI,Acao recomendada
https://www.aviva.com.br/fale-conosco,2.31,9,351,CLS 9.000 (meta <0.1) | INP 351ms (meta <200),Reduce unused JavaScript,Reservar espaco visual para imagens/embeds
https://www.aviva.com.br/conheca-a-aviva,2.31,9,351,CLS 9.000 (meta <0.1) | INP 351ms (meta <200),Reduce unused JavaScript,Reservar espaco visual para imagens/embeds
https://www.aviva.com.br/agenda,2.31,9,351,CLS 9.000 (meta <0.1) | INP 351ms (meta <200),Reduce initial server response time,Reservar espaco visual para imagens/embeds

Total: 3 URLs com CWV em FAIL | Fonte: PageSpeed Insights API | Gerado: 2026-04-24T01:15:42
