PR,URL,Title,Content type,Is rendered page,HTTP status code,Size (bytes),Loading time (ms),No. of IMG inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
0,https://www.aviva.com.br/assets/bcef7307-220b-4949-98db-c655e1679ef4,,image/jpeg,false,200,44732035,122,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/bcef7307-220b-4949-98db-c655e1679ef4,,image/jpeg,false,200,44732035,10,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/57edce90-5aaa-47c8-9fc2-df5e0fa42b0b,,image/jpeg,false,200,43948287,10,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/57edce90-5aaa-47c8-9fc2-df5e0fa42b0b,,image/jpeg,false,200,43948287,13,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/b530a155-4841-4533-bcf8-2335d03e2a1a,,image/jpeg,false,200,43933641,9,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/b530a155-4841-4533-bcf8-2335d03e2a1a,,image/jpeg,false,200,43933641,8,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/658db887-a5b4-459b-a5b2-e04fb68dfe03,,image/jpeg,false,200,43400314,9,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/658db887-a5b4-459b-a5b2-e04fb68dfe03,,image/jpeg,false,200,43400314,9,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/0f2db9e6-78c0-46ff-81f4-d74a79caedfe,,image/jpeg,false,200,43127701,9,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/0f2db9e6-78c0-46ff-81f4-d74a79caedfe,,image/jpeg,false,200,43127701,10,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/6c6431b7-0ece-4f39-acff-1b6e18079522,,image/jpeg,false,200,38951144,9,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/6c6431b7-0ece-4f39-acff-1b6e18079522,,image/jpeg,false,200,38951144,22,1,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/9f624084-14bb-469b-80d0-8f6aa468ec12,,image/jpeg,false,200,38741831,15,2,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/9f624084-14bb-469b-80d0-8f6aa468ec12,,image/jpeg,false,200,38741831,10,2,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://www.aviva.com.br/assets/cfd24a9d-31b6-4a86-b038-0ae76cd06de5,,image/jpeg,false,200,37222683,9,2,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
0,https://aviva.com.br/assets/cfd24a9d-31b6-4a86-b038-0ae76cd06de5,,image/jpeg,false,200,37222683,10,2,1) Converter imagens para WebP ou AVIF (reducao de 30-50% sem perda visual).,Performance,Media
