PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
95,https://www.aviva.com.br/,Aviva | Resorts e Parques aquáticos em meio à natureza,text/html;charset=utf-8,true,200,872,true,http://www.aviva.com.br/,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
43,https://aviva.com.br/,Aviva | Resorts e Parques aquáticos em meio à natureza,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
32,https://aviva.com.br/pacotes,Pacotes de viagem | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/pacotes,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
31,https://www.aviva.com.br/pacotes,Pacotes de viagem | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/pacotes,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
30,https://aviva.com.br/experiencias,Conheça Experiências incríveis | Aviva,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/experiencias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
29,https://www.aviva.com.br/experiencias,Conheça Experiências incríveis | Aviva,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/experiencias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
28,https://aviva.com.br/blog,Blog | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/blog,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
28,https://aviva.com.br/hot-park-rio-quente,Hot Park Rio Quente - O Maior Parque de Águas Quentes,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/hot-park-rio-quente,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
28,https://aviva.com.br/faca-seu-evento,Faça seu Evento na Aviva,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/faca-seu-evento,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
28,https://aviva.com.br/hot-park-costa-do-sauipe,Hot Park Costa do Sauípe Vem Aí,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/hot-park-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
27,https://www.aviva.com.br/faca-seu-evento,Faça seu Evento na Aviva,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/faca-seu-evento,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
27,https://www.aviva.com.br/blog,Blog | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/blog,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
27,https://www.aviva.com.br/hot-park-costa-do-sauipe,Hot Park Costa do Sauípe Vem Aí,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/hot-park-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
27,https://www.aviva.com.br/hot-park-rio-quente,Hot Park Rio Quente - O Maior Parque de Águas Quentes,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/hot-park-rio-quente,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
27,https://www.aviva.com.br/fale-conosco,Fale Conosco | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/fale-conosco,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
24,https://aviva.com.br/blog/clima-rio-quente-abril,Como é o clima no Rio Quente em abril? Descubra por que este é um dos meses favoritos dos viajantes!,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/blog/clima-rio-quente-abril,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
24,https://www.aviva.com.br/blog/clima-rio-quente-abril,Como é o clima no Rio Quente em abril? Descubra por que este é um dos meses favoritos dos viajantes!,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/blog/clima-rio-quente-abril,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
24,https://aviva.com.br/blog/tour-virtual-costa-do-sauipe,O Novo Tour Virtual da Costa do Sauípe,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/blog/tour-virtual-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
24,https://www.aviva.com.br/blog/costa-do-sauipe-verao-ano-todo,O Verão Acabou? Aqui Não! Descubra por que na Costa do Sauípe o Sol é Morador Fixo,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/blog/costa-do-sauipe-verao-ano-todo,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
24,https://www.aviva.com.br/blog/tour-virtual-costa-do-sauipe,O Novo Tour Virtual da Costa do Sauípe,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/blog/tour-virtual-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
24,https://aviva.com.br/blog/costa-do-sauipe-verao-ano-todo,O Verão Acabou? Aqui Não! Descubra por que na Costa do Sauípe o Sol é Morador Fixo,text/html;charset=utf-8,true,200,0,true,http://aviva.com.br/blog/costa-do-sauipe-verao-ano-todo,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/experiencias/teatro-da-vila,Teatro da Vila | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://www.aviva.com.br/experiencias/teatro-da-vila,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
